DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Interaction_Explanation
DDInter1376,Ozanimod,DDInter1959,Zanubrutinib,Major,"Major: When ozanimod and zanubrutinib are taken together, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. It is best to avoid taking these drugs together."
DDInter109,Apomorphine,DDInter1000,Ivosidenib,Major,Major: Apomorphine can cause severe side effects when taken together with ivosidenib. This combination should be avoided unless otherwise advised by your doctor.
DDInter112,Aprepitant,DDInter1435,Pexidartinib,Major,Major: Aprepitant and pexidartinib should not be used together because they can increase each other’s side effects. This is a major drug–drug interaction.
DDInter605,Drotrecogin alfa,DDInter142,Avapritinib,Major,"Major: When drotrecogin alfa is given together with avapritinib, there is an increased risk of bleeding. This is because drotrecogin alfa can increase the effects of avapritinib on blood clotting."
DDInter1002,Ixazomib,DDInter1953,Yellow Fever Vaccine,Major,"Major: The yellow fever vaccine can make your body produce antibodies to fight the virus. These antibodies can also attack ixazomib, a cancer medicine. This can decrease how well ixazomib works. It is important to talk to your health care provider before receiving the yellow fever vaccine if you are taking ixazomib."
DDInter1156,Mercaptopurine,DDInter1435,Pexidartinib,Major,Major: Mercaptopurine is used to treat leukemia. It works by blocking the growth of cancer cells. Pexidartinib is used to treat sarcoma. It works by stopping the spread of cancer cells. Taking mercaptopurine together with pexidartinib may decrease the effectiveness of both drugs.
DDInter128,Astemizole,DDInter340,Ceritinib,Major,"Major: The combination of astemizole and ceritinib should be avoided because there is a major drug interaction between them. This means that taking these drugs together can cause serious side effects. It is not clear exactly how this interaction happens, but it may involve the way that astemizole and ceritinib are metabolized by the liver."
DDInter1033,Leflunomide,DDInter1637,Salsalate,Major,Major: Taking leflunomide together with salsalate can cause major side effects. This is because salsalate can increase the level of leflunomide in your body. The FDA recommends avoiding this combination unless your doctor tells you to do so.
DDInter1812,Tinzaparin,DDInter621,Edoxaban,Major,Major: Tinzaparin is used to treat deep vein thrombosis. Edoxaban is an anticoagulant. Taking tinzaparin together with edoxaban increases the risk of bleeding.
DDInter1228,Mipomersen,DDInter220,Blinatumomab,Major,"Major: When mipomersen and blinatumomab are given together, there is a major drug interaction. This means that the side effects of blinatumomab can be increased when given with mipomersen. The exact mechanism for this interaction is unknown."
DDInter1876,Trimipramine,DDInter650,Ephedrine,Major,"Major: Taking trimipramine with ephedrine can cause serious side effects such as high blood pressure, irregular heartbeat, and seizures."
DDInter1400,Pazopanib,DDInter1032,Lefamulin,Major,"Major: Taking pazopanib together with lefamulin can cause major side effects. This is because pazopanib increases the amount of lefamulin in your body. However, this interaction has not been studied directly."
DDInter1607,Ritonavir,DDInter7,Abemaciclib,Major,"Major: When ritonavir is taken together with abemaciclib, there is an increased risk of side effects. This is because ritonavir can increase the levels of abemaciclib in your body. It is important to talk to your doctor about whether this interaction may be harmful for you."
DDInter438,Conivaptan,DDInter997,Ivacaftor,Major,"Major: When conivaptan is given together with ivacaftor, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. In this case, the combination of these drugs may cause dehydration."
DDInter127,Asparaginase Escherichia coli,DDInter1894,Typhoid vaccine (live),Major,Major: The asparaginase can reduce the number of white blood cells in your body. This can make you more likely to get an infection. The typhoid vaccine contains live viruses which can cause problems for people who have low numbers of white blood cells.
DDInter1421,Pentazocine,DDInter361,Chlorphenesin,Major,"Major: Taking chlorphenesin while taking pentazocine can cause severe drowsiness, confusion, hallucinations, and other mental effects. This interaction is due to the fact that chlorphenesin increases the effect of pentazocine."
DDInter1707,Spironolactone,DDInter1498,Potassium citrate,Major,"Major: When taking both spironolactone and potassium citrate together, there is an increased risk of hyperkalemia (high blood potassium levels) compared to taking either drug alone. This is because spironolactone can increase the amount of potassium in your body, while potassium citrate can decrease the amount of potassium in your body. Therefore, when taken together, they may cancel each other out, leading to normal potassium levels. However, this effect may not be seen in all patients, especially those who have kidney problems."
DDInter1462,Physostigmine,DDInter252,Bupropion,Major,Major: Physostigmine can cause major problems when taken together with bupropion. This problem may occur because physostigmine increases the levels of bupropion in your body.
DDInter649,Enzalutamide,DDInter1352,Osimertinib,Major,"Major: Enzalutamide and osimertinib should not be used together because they can increase the risk of bleeding. This is because enzalutamide can increase the effects of osimertinib, which also increases the risk of bleeding."
DDInter554,Digoxin,DDInter276,Calcium gluconate,Major,Major: Digoxin is used to treat heart failure and abnormal heart rhythms. Calcium gluconate is used to treat hypocalcemia (low levels of calcium in the blood) and hyperkalemia (high levels of potassium in the blood). Taking digoxin together with calcium gluconate can increase the risk of serious side effects on the heart such as ventricular tachycardia (fast heart rate). It is important to be aware of this potential interaction when taking these medications together.
DDInter108,Apixaban,DDInter1484,Plicamycin,Major,Major: The combination of apixaban and plicamycin should be avoided because it can cause major side effects. This interaction may increase the risk of bleeding.
