DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Interaction_Explanation,DrugA_ID,DrugA_SMILES,DrugA_Formula,DrugB_ID,DrugB_SMILES,DrugB_Formula
DDInter1376,ozanimod,DDInter1959,zanubrutinib,Major,"Major: When ozanimod and zanubrutinib are taken together, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. It is best to avoid taking these drugs together.",DB12612,CC(C)OC1=C(C=C(C=C1)C1=NC(=NO1)C1=C2CC[C@H](NCCO)C2=CC=C1)C#N,C23H24N4O3,DB15035,NC(=O)C1=C2NCC[C@@H](C3CCN(CC3)C(=O)C=C)N2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1,C27H29N5O3
DDInter109,apomorphine,DDInter1000,ivosidenib,Major,Major: Apomorphine can cause severe side effects when taken together with ivosidenib. This combination should be avoided unless otherwise advised by your doctor.,DB00714,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,C17H17NO2,DB14568,[H][C@@](N(C(=O)[C@]1([H])CCC(=O)N1C1=NC=CC(=C1)C#N)C1=CC(F)=CN=C1)(C(=O)NC1CC(F)(F)C1)C1=C(Cl)C=CC=C1,C28H22ClF3N6O3
DDInter112,aprepitant,DDInter1435,pexidartinib,Major,Major: Aprepitant and pexidartinib should not be used together because they can increase each other’s side effects. This is a major drug–drug interaction.,DB00673,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,C23H21F7N4O3,DB12978,FC(F)(F)C1=CC=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=C2)C=N1,C20H15ClF3N5
DDInter605,drotrecogin alfa,DDInter142,avapritinib,Major,"Major: When drotrecogin alfa is given together with avapritinib, there is an increased risk of bleeding. This is because drotrecogin alfa can increase the effects of avapritinib on blood clotting.",,,,DB15233,CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C@@](C)(N)C3=CC=C(F)C=C3)C2=C1,C26H27FN10
DDInter1002,ixazomib,DDInter1953,yellow fever vaccine,Major,"Major: The yellow fever vaccine can make your body produce antibodies to fight the virus. These antibodies can also attack ixazomib, a cancer medicine. This can decrease how well ixazomib works. It is important to talk to your health care provider before receiving the yellow fever vaccine if you are taking ixazomib.",DB09570,CC(C)C[C@H](NC(=O)CNC(=O)C1=CC(Cl)=CC=C1Cl)B(O)O,C14H19BCl2N2O4,,,
DDInter1156,mercaptopurine,DDInter1435,pexidartinib,Major,Major: Mercaptopurine is used to treat leukemia. It works by blocking the growth of cancer cells. Pexidartinib is used to treat sarcoma. It works by stopping the spread of cancer cells. Taking mercaptopurine together with pexidartinib may decrease the effectiveness of both drugs.,DB01033,S=C1N=CNC2=C1NC=N2,C5H4N4S,DB12978,FC(F)(F)C1=CC=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=C2)C=N1,C20H15ClF3N5
DDInter128,astemizole,DDInter340,ceritinib,Major,"Major: The combination of astemizole and ceritinib should be avoided because there is a major drug interaction between them. This means that taking these drugs together can cause serious side effects. It is not clear exactly how this interaction happens, but it may involve the way that astemizole and ceritinib are metabolized by the liver.",DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1,C28H31FN4O,DB09063,CC(C)OC1=C(NC2=NC=C(Cl)C(N2)=NC2=CC=CC=C2S(=O)(=O)C(C)C)C=C(C)C(=C1)C1CCNCC1,C28H36ClN5O3S
DDInter1033,leflunomide,DDInter1637,salsalate,Major,Major: Taking leflunomide together with salsalate can cause major side effects. This is because salsalate can increase the level of leflunomide in your body. The FDA recommends avoiding this combination unless your doctor tells you to do so.,DB01097,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,C12H9F3N2O2,DB01399,OC(=O)C1=CC=CC=C1OC(=O)C1=CC=CC=C1O,C14H10O5
DDInter1812,tinzaparin,DDInter621,edoxaban,Major,Major: Tinzaparin is used to treat deep vein thrombosis. Edoxaban is an anticoagulant. Taking tinzaparin together with edoxaban increases the risk of bleeding.,DB06822,,,DB09075,CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)NC2=NC=C(Cl)C=C2)[C@@H](C1)NC(=O)C1=NC2=C(CN(C)CC2)S1,C24H30ClN7O4S
DDInter1228,mipomersen,DDInter220,blinatumomab,Major,"Major: When mipomersen and blinatumomab are given together, there is a major drug interaction. This means that the side effects of blinatumomab can be increased when given with mipomersen. The exact mechanism for this interaction is unknown.",,,,,,
